"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"257",484,27,-29.5,29.4,27,-29.5,TRUE
"258",489,29.5,-29.5,98,29.5,-29.5,TRUE
"259",490,30,-29.5,114.9,30,-29.5,TRUE
"260",491,30.5,-29.5,127.2,30.5,-29.5,TRUE
"261",492,31,-29.5,97.3,31,-29.5,TRUE
"262",498,17.5,-30,0,17.5,-30,TRUE
"263",499,18,-30,0.2,18,-30,TRUE
"264",500,18.5,-30,1.5,18.5,-30,TRUE
"265",501,19,-30,4,19,-30,TRUE
"266",502,19.5,-30,7.3,19.5,-30,TRUE
"267",503,20,-30,12.4,20,-30,TRUE
"268",504,20.5,-30,19.3,20.5,-30,TRUE
"269",505,21,-30,19.5,21,-30,TRUE
"270",506,21.5,-30,17.3,21.5,-30,TRUE
"271",507,22,-30,11,22,-30,TRUE
"272",508,22.5,-30,14.1,22.5,-30,TRUE
"273",509,23,-30,15.9,23,-30,TRUE
"274",510,23.5,-30,6.7,23.5,-30,TRUE
"275",511,24,-30,4,24,-30,TRUE
"276",512,24.5,-30,2.6,24.5,-30,TRUE
"277",513,25,-30,8.3,25,-30,TRUE
"278",514,25.5,-30,13.3,25.5,-30,TRUE
"279",515,26,-30,15.6,26,-30,TRUE
"280",516,26.5,-30,12.7,26.5,-30,TRUE
"281",517,27,-30,21.4,27,-30,TRUE
"282",522,29.5,-30,83.6,29.5,-30,TRUE
"283",523,30,-30,88.1,30,-30,TRUE
"284",524,30.5,-30,91.4,30.5,-30,TRUE
"285",531,17.5,-30.5,0.6,17.5,-30.5,TRUE
"286",532,18,-30.5,0.1,18,-30.5,TRUE
"287",533,18.5,-30.5,0,18.5,-30.5,TRUE
"288",534,19,-30.5,1.7,19,-30.5,TRUE
"289",535,19.5,-30.5,4.8,19.5,-30.5,TRUE
"290",536,20,-30.5,9,20,-30.5,TRUE
"291",537,20.5,-30.5,14.4,20.5,-30.5,TRUE
"292",538,21,-30.5,14.9,21,-30.5,TRUE
"293",539,21.5,-30.5,8.5,21.5,-30.5,TRUE
"294",540,22,-30.5,6.2,22,-30.5,TRUE
"295",541,22.5,-30.5,7.7,22.5,-30.5,TRUE
"296",542,23,-30.5,12.5,23,-30.5,TRUE
"297",543,23.5,-30.5,13.6,23.5,-30.5,TRUE
"298",544,24,-30.5,13.8,24,-30.5,TRUE
"299",545,24.5,-30.5,2.9,24.5,-30.5,TRUE
"300",546,25,-30.5,9.8,25,-30.5,TRUE
"301",547,25.5,-30.5,34,25.5,-30.5,TRUE
"302",548,26,-30.5,20.1,26,-30.5,TRUE
"303",549,26.5,-30.5,19.1,26.5,-30.5,TRUE
"304",550,27,-30.5,55.3,27,-30.5,TRUE
"305",551,27.5,-30.5,48.7,27.5,-30.5,TRUE
"306",553,28.5,-30.5,72.1,28.5,-30.5,TRUE
"307",554,29,-30.5,80.2,29,-30.5,TRUE
"308",555,29.5,-30.5,47,29.5,-30.5,TRUE
"309",556,30,-30.5,50.7,30,-30.5,TRUE
"310",557,30.5,-30.5,49.7,30.5,-30.5,TRUE
"311",565,18,-31,0,18,-31,TRUE
"312",566,18.5,-31,0.1,18.5,-31,TRUE
"313",567,19,-31,0,19,-31,TRUE
"314",568,19.5,-31,0,19.5,-31,TRUE
"315",569,20,-31,3.4,20,-31,TRUE
"316",570,20.5,-31,3.3,20.5,-31,TRUE
"317",571,21,-31,2.2,21,-31,TRUE
"318",572,21.5,-31,1.2,21.5,-31,TRUE
"319",573,22,-31,3.7,22,-31,TRUE
"320",574,22.5,-31,6.7,22.5,-31,TRUE
"321",575,23,-31,17.7,23,-31,TRUE
"322",576,23.5,-31,23.3,23.5,-31,TRUE
"323",577,24,-31,9.9,24,-31,TRUE
"324",578,24.5,-31,0.6,24.5,-31,TRUE
"325",579,25,-31,1.1,25,-31,TRUE
"326",580,25.5,-31,11.6,25.5,-31,TRUE
"327",581,26,-31,6.3,26,-31,TRUE
"328",582,26.5,-31,27.5,26.5,-31,TRUE
"329",583,27,-31,29.3,27,-31,TRUE
"330",584,27.5,-31,57.7,27.5,-31,TRUE
"331",585,28,-31,31.9,28,-31,TRUE
"332",586,28.5,-31,41.3,28.5,-31,TRUE
"333",587,29,-31,44.8,29,-31,TRUE
"334",588,29.5,-31,39.8,29.5,-31,TRUE
"335",589,30,-31,46.8,30,-31,TRUE
"336",599,18.5,-31.5,0.2,18.5,-31.5,TRUE
"337",600,19,-31.5,0.6,19,-31.5,TRUE
"338",601,19.5,-31.5,0,19.5,-31.5,TRUE
"339",602,20,-31.5,0.1,20,-31.5,TRUE
"340",603,20.5,-31.5,0.4,20.5,-31.5,TRUE
"341",604,21,-31.5,0.4,21,-31.5,TRUE
"342",605,21.5,-31.5,1.3,21.5,-31.5,TRUE
"343",606,22,-31.5,2.8,22,-31.5,TRUE
"344",607,22.5,-31.5,6.2,22.5,-31.5,TRUE
