"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"57",91,30.5,-18.5,36.8,30.5,-18.5,TRUE
"58",92,31,-18.5,45.4,31,-18.5,TRUE
"59",93,31.5,-18.5,54.9,31.5,-18.5,TRUE
"60",94,32,-18.5,38.6,32,-18.5,TRUE
"61",95,32.5,-18.5,30.3,32.5,-18.5,TRUE
"62",98,26,-19,38.8,26,-19,TRUE
"63",99,26.5,-19,46.8,26.5,-19,TRUE
"64",100,27,-19,44.9,27,-19,TRUE
"65",101,27.5,-19,41.5,27.5,-19,TRUE
"66",102,28,-19,37.5,28,-19,TRUE
"67",103,28.5,-19,33.9,28.5,-19,TRUE
"68",104,29,-19,34.7,29,-19,TRUE
"69",105,29.5,-19,36.3,29.5,-19,TRUE
"70",106,30,-19,20.4,30,-19,TRUE
"71",107,30.5,-19,11.8,30.5,-19,TRUE
"72",108,31,-19,42,31,-19,TRUE
"73",109,31.5,-19,35.4,31.5,-19,TRUE
"74",110,32,-19,39.9,32,-19,TRUE
"75",111,32.5,-19,26.5,32.5,-19,TRUE
"76",115,26.5,-19.5,32.3,26.5,-19.5,TRUE
"77",116,27,-19.5,28.8,27,-19.5,TRUE
"78",117,27.5,-19.5,26.9,27.5,-19.5,TRUE
"79",118,28,-19.5,23.9,28,-19.5,TRUE
"80",119,28.5,-19.5,34.5,28.5,-19.5,TRUE
"81",120,29,-19.5,16.1,29,-19.5,TRUE
"82",121,29.5,-19.5,22.7,29.5,-19.5,TRUE
"83",122,30,-19.5,12.4,30,-19.5,TRUE
"84",123,30.5,-19.5,16.3,30.5,-19.5,TRUE
"85",124,31,-19.5,16.3,31,-19.5,TRUE
"86",125,31.5,-19.5,11.8,31.5,-19.5,TRUE
"87",126,32,-19.5,31.3,32,-19.5,TRUE
"88",127,32.5,-19.5,27.9,32.5,-19.5,TRUE
"89",132,27,-20,15.9,27,-20,TRUE
"90",133,27.5,-20,14.2,27.5,-20,TRUE
"91",134,28,-20,13.9,28,-20,TRUE
"92",135,28.5,-20,21.6,28.5,-20,TRUE
"93",136,29,-20,12.2,29,-20,TRUE
"94",137,29.5,-20,8.2,29.5,-20,TRUE
"95",138,30,-20,4.4,30,-20,TRUE
"96",139,30.5,-20,8.2,30.5,-20,TRUE
"97",140,31,-20,12.9,31,-20,TRUE
"98",141,31.5,-20,15,31.5,-20,TRUE
"99",142,32,-20,20.8,32,-20,TRUE
"100",143,32.5,-20,28.5,32.5,-20,TRUE
"101",144,33,-20,33.6,33,-20,TRUE
"102",150,28,-20.5,5.9,28,-20.5,TRUE
"103",151,28.5,-20.5,1.3,28.5,-20.5,TRUE
"104",152,29,-20.5,2.7,29,-20.5,TRUE
"105",153,29.5,-20.5,6.4,29.5,-20.5,TRUE
"106",154,30,-20.5,5,30,-20.5,TRUE
"107",155,30.5,-20.5,4.5,30.5,-20.5,TRUE
"108",156,31,-20.5,8,31,-20.5,TRUE
"109",157,31.5,-20.5,21.7,31.5,-20.5,TRUE
"110",158,32,-20.5,41.7,32,-20.5,TRUE
"111",159,32.5,-20.5,16.6,32.5,-20.5,TRUE
"112",166,28,-21,0.3,28,-21,TRUE
"113",167,28.5,-21,0,28.5,-21,TRUE
"114",168,29,-21,0,29,-21,TRUE
"115",169,29.5,-21,0,29.5,-21,TRUE
"116",170,30,-21,1.2,30,-21,TRUE
"117",171,30.5,-21,1.8,30.5,-21,TRUE
"118",172,31,-21,5.3,31,-21,TRUE
"119",173,31.5,-21,37.2,31.5,-21,TRUE
"120",174,32,-21,47.8,32,-21,TRUE
"121",182,28,-21.5,1.1,28,-21.5,TRUE
"122",183,28.5,-21.5,0,28.5,-21.5,TRUE
"123",184,29,-21.5,0,29,-21.5,TRUE
"124",185,29.5,-21.5,0,29.5,-21.5,TRUE
"125",186,30,-21.5,0,30,-21.5,TRUE
"126",187,30.5,-21.5,5.2,30.5,-21.5,TRUE
"127",188,31,-21.5,16.2,31,-21.5,TRUE
"128",189,31.5,-21.5,29.2,31.5,-21.5,TRUE
"129",190,32,-21.5,37.2,32,-21.5,TRUE
"130",201,29.5,-22,0.1,29.5,-22,TRUE
"131",202,30,-22,0.1,30,-22,TRUE
"132",203,30.5,-22,3.2,30.5,-22,TRUE
"133",204,31,-22,14.7,31,-22,TRUE
"134",205,31.5,-22,16.6,31.5,-22,TRUE
