id_station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
station_2,2009,115.1,200.8,274.5,102.2,28,1.3,0.947766048,0.6,0.7,46.9,231.6,229.1
station_2,2010,128.3,106.2,267,47.8,18.3,0.6,0.954163231,0.6,5.6,20.9,128.9,180.3
station_2,2011,119.2,189,251.4,64.6,15.3,5.7,0.654377958,0.8,43.3,74.7,204.8,239.6
station_2,2012,84,139.5,191.9,89.1,22.7,1.1,0.335361344,0.7,10.8,66.6,167,212.6
station_2,2013,184.2,124.9,257.7,41.4,17.1,0.868688796,0.852224002,0.6,12.3,37.5,215.4,205
station_2,2014,170,160,217,120,21,1,0.323454666,1,15,63,173,205
station_2,2015,170,160,217,120,21,1,0.801513358,1,15,43.3,195.4,188.3
station_3,1970,285.1,220.3,361.2,95.1,14.3,3.6,0.927810036,0.097170439,15.5,46.9,191,224.5
station_3,1971,111.9,178.5,99.6,115.5,12.2,0.273833887,0.747938227,0.002872547,5.3,39.4,121.4,213.1
station_3,1972,183.6,77.2,146.4,93.8,25.6,12.8,0.275517645,0.205765298,3.2,49.8,156.7,224.4
station_3,1973,220.7,171.1,141.3,51,27.3,0.930082057,0.810698596,0.181564956,9.7,6.6,104,181.7
station_3,1974,197.1,146.3,285.4,169.7,81.5,1.3,0.250770564,0.600708776,0.613707722,45.3,113.4,140.1
station_3,1975,130.3,176.4,185.5,128.6,12.7,0.2,0.384664913,0.026802671,6.4,57.4,65.7,154.9
station_3,1976,152.6,190.6,115.7,174.5,9.2,0.652223655,0.184006135,0.186819429,7.6,90.3,111.8,180.6
station_3,1977,243.8,135.9,166.2,143.8,59.3,0.956338069,0.919866822,0.379234672,7.6,18.6,194.9,285.3
station_3,1978,172.6,182.5,240.5,144.4,0.314672668,3.9,0.660441254,0.566115686,12.7,97.7,269.4,200.1
station_3,1979,328.6,226.3,297.6,233.4,56.9,0.078867354,0.596494733,0.255251081,0.4,53.8,277.4,313.4
station_3,1980,161.1,150.7,234.7,135.9,6.6,0.481789679,0.310564458,0.272792368,24.3,67,124.5,168
station_3,1981,104.8,114.4,369.4,52.6,29.7,0.601670901,0.458040076,0.964435414,7.9,38.7,58.9,185.8
station_3,1982,179.7,160.1,150.9,108.9,16.6,0.3,0.637178158,0.1928456,8.3,54.5,291.6,228.1
station_3,1983,172.6,151.6,132.7,62.4,21.1,0.504475827,0.89423376,0.567469321,4.5,60.9,144,172.7
station_3,1984,237.8,204.2,143.7,97.5,4.8,0.835043424,0.512617738,0.221593122,10.6,62.5,153.6,220.4
station_3,1985,177.6,150.4,206.3,121.6,19.9,0.999300072,0.40391619,0.514795868,17.3,44.7,135.8,191
station_3,1986,196.2,99.6,238.3,74.2,13.8,0.6,0.190620049,0.429469904,16.1,65.8,146.4,202.8
station_3,1987,125,182,186.7,126.9,23.5,0.41140269,0.062511535,0.372175891,11.3,45.1,119.7,187.7
station_3,1988,173.5,154.3,194.3,84.4,10,0.687832599,0.39152427,0.289853872,4.2,86.2,154.5,145.1
station_3,1989,78.9,131.9,125.9,185.2,10.2,0.1,0.876005214,0.68112465,1.7,63,140.9,226.1
station_3,1990,98.9,170.7,222,106.9,10.2,0.753439266,0.606962983,0.991382359,3.8,31.1,53.3,159
station_3,1991,143.5,143.9,203.9,55.9,23.7,0.79934848,0.323819875,0.99725352,3.1,50.5,102.4,140.9
station_3,1992,127.8,108.9,139.6,58.8,24.9,0.903958879,0.545778895,0.490418167,0.2,51.5,186.5,108
station_3,1993,196.5,131.1,209.6,121.9,17.5,0.4,0.098358727,0.0329897,12.6,37.2,155,116.1
station_3,1994,160.8,143,245.3,84.6,3.8,0.354117099,0.787450442,0.891934032,9.5,54.1,89.4,176.4
station_3,1995,133.7,193,193.4,57.8,1.5,0.3,0.200366739,0.457295226,3.3,65.6,68.3,110.1
station_3,1996,213,154.4,162.2,79.5,12.7,0.329146724,0.790550028,0.457301281,4.1,12.2,53.9,122
station_3,1997,152.5,103.9,222,97.7,5.4,0.726866244,0.130637193,0.627902095,7.1,52.1,138.2,283.9
station_3,1998,250.9,167.5,175.1,157.6,6.8,0.907917839,0.486699703,0.328576576,12.1,42.2,100.8,131.4
station_3,1999,111,75,263.2,130.7,0.311614197,1.5,0.996271489,0.190236553,6.4,32.4,131.1,162.3
station_3,2000,125.8,143.5,235.3,24,4.3,0.30942877,0.911941425,0.8493125,0.5,27.3,194.9,173.1
station_3,2001,274,162.6,288.1,51,6.7,2.1,0.653214686,0.325492001,34.9,74.4,84.8,134.2
station_3,2002,237.2,92,240,92.8,0.4,0.203515877,0.618992877,0.282821575,2.8,14.3,151.3,215.9
station_3,2003,246.2,110.8,258.5,185.9,15.2,0.95179369,0.610230242,0.877239235,1.8,63.5,78.5,177.2
station_3,2004,131.3,171.8,190.6,155.7,0.967349028,0.2,0.763267339,0.187700569,13.1,18.8,137.1,278.2
station_3,2005,264.3,96,171,62.7,10.7,0.7,0.420544116,0.484502338,0.963072306,5.9,98,222.8
station_3,2006,132.6,145.9,167.7,129.2,70,0.261017714,0.243209834,0.492988451,11.8,43.6,261.1,229.6
station_3,2007,181.6,83.5,180.4,72.9,10.2,3.2,0.219147394,0.968921664,25.7,39.9,109.7,261.4
station_3,2008,262.8,209.7,208.5,58.6,7.3,1.6,0.80764753,0.890820595,0.9,40.6,161.6,170.1
station_3,2009,130.6,208,272.7,92.3,25.9,2.3,0.417653129,0.522968742,0.5,35.1,220.1,220.8
station_3,2010,133,112.8,267.7,46.9,18.2,1.3,0.344691063,0.561614077,3.7,14.8,110.8,169.6
station_3,2011,123,194.9,244,72.8,14.7,9.9,0.050101901,0.346648484,34.1,66.3,186,253
station_3,2012,92.3,146.8,182.3,80.5,21.6,2,0.090352234,0.401191024,7,54.5,148.3,214.1
