"id_station","lon","lat"
"station_203",14.5,17.5
"station_204",15,17.5
"station_205",15.5,17.5
"station_206",4.5,17
"station_207",5,17
"station_208",5.5,17
"station_209",6,17
"station_210",6.5,17
"station_211",7,17
"station_212",7.5,17
"station_213",8,17
"station_214",8.5,17
"station_215",9,17
"station_216",9.5,17
"station_217",10,17
"station_218",10.5,17
"station_219",11,17
"station_220",11.5,17
"station_221",12,17
"station_222",12.5,17
"station_223",13,17
"station_224",13.5,17
"station_225",14,17
"station_226",14.5,17
"station_227",15,17
"station_228",15.5,17
"station_229",4.5,16.5
"station_230",5,16.5
"station_231",5.5,16.5
"station_232",6,16.5
"station_233",6.5,16.5
"station_234",7,16.5
"station_235",7.5,16.5
"station_236",8,16.5
"station_237",8.5,16.5
"station_238",9,16.5
"station_239",9.5,16.5
"station_240",10,16.5
"station_241",10.5,16.5
"station_242",11,16.5
"station_243",11.5,16.5
"station_244",12,16.5
"station_245",12.5,16.5
"station_246",13,16.5
"station_247",13.5,16.5
"station_248",14,16.5
"station_249",14.5,16.5
"station_250",15,16.5
"station_251",4.5,16
"station_252",5,16
"station_253",5.5,16
"station_254",6,16
"station_255",6.5,16
"station_256",7,16
"station_257",7.5,16
"station_258",8,16
"station_259",8.5,16
"station_260",9,16
"station_261",9.5,16
"station_262",10,16
"station_263",10.5,16
"station_264",11,16
"station_265",11.5,16
"station_266",12,16
"station_267",12.5,16
"station_268",13,16
"station_269",13.5,16
"station_270",14,16
"station_271",14.5,16
"station_272",4,15.5
"station_273",4.5,15.5
"station_274",5,15.5
"station_275",5.5,15.5
"station_276",6,15.5
"station_277",6.5,15.5
"station_278",7,15.5
"station_279",7.5,15.5
"station_280",8,15.5
"station_281",8.5,15.5
"station_282",9,15.5
"station_283",9.5,15.5
"station_284",10,15.5
"station_285",10.5,15.5
"station_286",11,15.5
"station_287",11.5,15.5
"station_288",12,15.5
"station_289",12.5,15.5
"station_290",13,15.5
"station_291",13.5,15.5
"station_292",14,15.5
"station_293",1,15
"station_294",1.5,15
"station_295",2,15
"station_296",2.5,15
"station_297",3,15
"station_298",3.5,15
"station_299",4,15
"station_300",4.5,15
"station_301",5,15
"station_302",5.5,15
"station_303",6,15
"station_304",6.5,15
"station_305",7,15
"station_306",7.5,15
"station_307",8,15
"station_308",8.5,15
"station_309",9,15
"station_310",9.5,15
"station_311",10,15
"station_312",10.5,15
"station_313",11,15
"station_314",11.5,15
"station_315",12,15
"station_316",12.5,15
"station_317",13,15
"station_318",13.5,15
"station_319",0.5,14.5
"station_320",1,14.5
"station_321",1.5,14.5
"station_322",2,14.5
"station_323",2.5,14.5
"station_324",3,14.5
"station_325",3.5,14.5
"station_326",4,14.5
"station_327",4.5,14.5
"station_328",5,14.5
"station_329",5.5,14.5
"station_330",6,14.5
"station_331",6.5,14.5
"station_332",7,14.5
"station_333",7.5,14.5
"station_334",8,14.5
"station_335",8.5,14.5
"station_336",9,14.5
"station_337",9.5,14.5
"station_338",10,14.5
"station_339",10.5,14.5
"station_340",11,14.5
"station_341",11.5,14.5
"station_342",12,14.5
"station_343",12.5,14.5
"station_344",13,14.5
"station_345",13.5,14.5
"station_346",0.5,14
"station_347",1,14
"station_348",1.5,14
"station_349",2,14
"station_350",2.5,14
"station_351",3,14
"station_352",3.5,14
"station_353",4,14
"station_354",4.5,14
"station_355",5,14
"station_356",5.5,14
"station_357",6,14
"station_358",6.5,14
"station_359",7,14
"station_360",7.5,14
"station_361",8,14
"station_362",8.5,14
"station_363",9,14
"station_364",9.5,14
"station_365",10,14
"station_366",10.5,14
"station_367",11,14
"station_368",11.5,14
"station_369",12,14
"station_370",12.5,14
"station_371",13,14
"station_372",13.5,14
"station_373",1.5,13.5
"station_374",2,13.5
"station_375",2.5,13.5
"station_376",3,13.5
"station_377",3.5,13.5
"station_378",4,13.5
"station_379",7,13.5
"station_380",7.5,13.5
"station_381",8,13.5
"station_382",8.5,13.5
"station_383",9,13.5
"station_384",9.5,13.5
"station_385",10,13.5
"station_386",10.5,13.5
"station_387",11,13.5
"station_388",11.5,13.5
"station_389",12,13.5
"station_390",12.5,13.5
"station_391",1,13
"station_392",1.5,13
"station_393",2,13
"station_394",2.5,13
"station_395",3,13
"station_396",3.5,13
"station_397",4,13
"station_398",7,13
"station_399",9,13
"station_400",9.5,13
"station_401",2.5,12.5
"station_402",3,12.5
"station_403",3.5,12.5
"station_404",3.5,12
