"id_station","lon","lat"
"station_335",26.5,15.5
"station_336",27,15.5
"station_337",27.5,15.5
"station_338",28,15.5
"station_339",28.5,15.5
"station_340",29,15.5
"station_341",29.5,15.5
"station_342",30,15.5
"station_343",30.5,15.5
"station_344",31,15.5
"station_345",31.5,15.5
"station_346",32,15.5
"station_347",32.5,15.5
"station_348",33,15.5
"station_349",33.5,15.5
"station_350",34,15.5
"station_351",34.5,15.5
"station_352",35,15.5
"station_353",35.5,15.5
"station_354",36,15.5
"station_355",36.5,15.5
"station_356",23,15
"station_357",23.5,15
"station_358",24,15
"station_359",24.5,15
"station_360",25,15
"station_361",25.5,15
"station_362",26,15
"station_363",26.5,15
"station_364",27,15
"station_365",27.5,15
"station_366",28,15
"station_367",28.5,15
"station_368",29,15
"station_369",29.5,15
"station_370",30,15
"station_371",30.5,15
"station_372",31,15
"station_373",31.5,15
"station_374",32,15
"station_375",32.5,15
"station_376",33,15
"station_377",33.5,15
"station_378",34,15
"station_379",34.5,15
"station_380",35,15
"station_381",35.5,15
"station_382",36,15
"station_383",22.5,14.5
"station_384",23,14.5
"station_385",23.5,14.5
"station_386",24,14.5
"station_387",24.5,14.5
"station_388",25,14.5
"station_389",25.5,14.5
"station_390",26,14.5
"station_391",26.5,14.5
"station_392",27,14.5
"station_393",27.5,14.5
"station_394",28,14.5
"station_395",28.5,14.5
"station_396",29,14.5
"station_397",29.5,14.5
"station_398",30,14.5
"station_399",30.5,14.5
"station_400",31,14.5
"station_401",31.5,14.5
"station_402",32,14.5
"station_403",32.5,14.5
"station_404",33,14.5
"station_405",33.5,14.5
"station_406",34,14.5
"station_407",34.5,14.5
"station_408",35,14.5
"station_409",35.5,14.5
"station_410",36,14.5
"station_411",36.5,14.5
"station_412",22.5,14
"station_413",23,14
"station_414",23.5,14
"station_415",24,14
"station_416",24.5,14
"station_417",25,14
"station_418",25.5,14
"station_419",26,14
"station_420",26.5,14
"station_421",27,14
"station_422",27.5,14
"station_423",28,14
"station_424",28.5,14
"station_425",29,14
"station_426",29.5,14
"station_427",30,14
"station_428",30.5,14
"station_429",31,14
"station_430",31.5,14
"station_431",32,14
"station_432",32.5,14
"station_433",33,14
"station_434",33.5,14
"station_435",34,14
"station_436",34.5,14
"station_437",35,14
"station_438",35.5,14
"station_439",36,14
"station_440",22.5,13.5
"station_441",23,13.5
"station_442",23.5,13.5
"station_443",24,13.5
"station_444",24.5,13.5
"station_445",25,13.5
"station_446",25.5,13.5
"station_447",26,13.5
"station_448",26.5,13.5
"station_449",27,13.5
"station_450",27.5,13.5
"station_451",28,13.5
"station_452",28.5,13.5
"station_453",29,13.5
"station_454",29.5,13.5
"station_455",30,13.5
"station_456",30.5,13.5
"station_457",31,13.5
"station_458",31.5,13.5
"station_459",32,13.5
"station_460",32.5,13.5
"station_461",33,13.5
"station_462",33.5,13.5
"station_463",34,13.5
"station_464",34.5,13.5
"station_465",35,13.5
"station_466",35.5,13.5
"station_467",36,13.5
"station_468",22,13
"station_469",22.5,13
"station_470",23,13
"station_471",23.5,13
"station_472",24,13
"station_473",24.5,13
